Categorie,Naam,Beschrijving
Outdoorshirts,Artefit t-shirt heren - shirt heren - regular fit - Black - L,"Het Halong T-Shirt is je musthave basic T-shirt, dankzij de zachte ademende stof voel je je de hele dag comfortabel. Het Halong T-shirt is ideaal voor trainingen van lage intensiteit en het perfecte kledingstuk bij je alledaagse casual outfit.✓ Anti-geur✓ Sanitized™ voorkomt onaangename geurtjes✓ Langdurige fris✓ Ideaal als sportkleding, lifestyle of aithleisure activiteiten✓ Zit lekker comfortabel    Bekijk ook onze Artefit compressie broeken , tot 12 uur compressie, ideaal te combineren met onze t-shirts."
Outdoorshirts,101 INC - Tactical t-shirt Quick Dry long sleeve (kleur: Wolf Grey / maat: M),Tactical t-shirt Quick Dry met lange mouwen gemaakt van 100% polyester. Door de zachte stretch stof heb je optimale bewegingsvrijheid.Quick Dry materiaal is sneldrogend en vochtregulerend. Materiaal: 100% Polyester.
Outdoorshirts,Fjallraven High Coast Cool T-Shirt Dames Outdoorshirt - Dark Grey - L,"Comfortabel T-shirt van jersey met een koele feel. Ideaal voor trektochten, eendaagse hikes en dagelijks gebruik."
Outdoorbodywarmers,RINO & PELLE 3463 - ZWART - 36,"Stylish padded waistcoat. This lightweight waistcoat features a snap button closure, two side pockets with zipper and a removable self-tie belt."
Outdoorbodywarmers,RINO & PELLE 3463 - ZWART - 40,"Stylish padded waistcoat. This lightweight waistcoat features a snap button closure, two side pockets with zipper and a removable self-tie belt."
Outdoorbodywarmers,Kjelvik Denise Bodywarmer Dames - Maat 42,Bodywarmer Denise is een comfortabele dames bodywarmer in een getailleerd model. Deze warmte isolerende bodywarmer is winddicht en waterafstotend. Verder is de bodywarmer voorzien van twee steekzakken met ritssluiting en een gevoerde binnenzijde met binnenzak.
Outdoorbodywarmers,BJØRNSON Hedda Softshell Bodywarmer - Dames - Winddicht - Maat 46 - Wit,De 4 seizoenen softshell bodywarmer Hedda van BJØRNSON is winddicht en waterafstotend.   BJØRNSON HEDDA Softshell Bodywarmer Dames  Voordelen   Winddicht en waterafstotend Aansluitend op taille en schouders Winddichte ritsen Bewegingsvrij en ademend Afsluitbare zakken (rits)   De bodywarmer voor dames is voorzien van een winddichte voering en een dunne padding. De taille is verstelbaar met een elastisch koord en de schouders zijn omsloten door een elastische boord. Daarnaast zijn de rits in de body en de ritszakken winddicht. De rits van de body heeft ook nog een extra windvangende flap aan de binnenzijde. Hierdoor blijf je ook als het waait lekker warm. De softshell bodywarmer is gemaakt van polyester. Dit maakt de bodywarmer waterafstotend. Dankzij het lichte gewicht draagt deze softshell bewegingsvrij en comfortabel. Rondom de hals is een zachte fleece stof aangebracht. De 4 seizoenen bodywarmer is voorzien van ritszakken op de heup en borst.
Outdoorbodywarmers,Kjelvik dames bodywarmer groen - Maat L,"Groene bodywarmer voor dames uit de Kjelvik collectie. Voorzien van een ritssluiting met kinbeschermer en een hoge kraag. De lichtgewicht bodywarmer heeft twee zakken met ritsen en aansnoerkoordjes aan de onderzijde voor een optimale pasvorm. Vervaardigd van ademend, waterafstotend en winddicht materiaal. De Kjelvik bodywarmer voor dames is gewatteerd en gemaakt van 100% polyester."
Outdoorbodywarmers,Satexo NEVADA Bodywarmer Marineblauw | Maat S,"Satexo - NEVADA Bodywarmer [P70] Hierboven ziet u de basic bodywarmer NEVADA van het merk Satexo. De bodywarmer is voorzien van vele functionele zakken. Dat is handig om bijvoorbeeld uw mobiele telefoon of kleine gereedschappen in mee te nemen. De bodywarmer van Satexo heeft een polyester voering waardoor hij flexibel is en tevens gedeeltelijke bescherming biedt tegen lage temperaturen. Ook is de NEVADA bodywarmer uitgerust met windvangers en een verlengd rugpand, waardoor de drager goed beschermd is tegen de kou."
Outdoorbodywarmers,GEAR3000® - Verwarmde Bodywarmer - Exclusief Powerbank - Heren XL - Dames Extra Large,"Elektrische bodywarmer om lichaam en kraag te verwarmen.
 Winterkleding waar je echt warm van wordt. De outdoor bodywarmer past bij elke outfit door het neutrale design en de kleur. 
 Eigen powerbank thuis? Bespaar kosten. De GEAR3000® bodywarmer exclusief powerbank. 
 Maat: Extra Large (valt normaal)Kleur: Wit / Gebroken Wit 
 
Met een druk op de knop is de bodywarmer verwarmd.
 Functies: 

3 warmtemodus: Energy Saver, Comfort & Ultra warm
Inclusief USB-A aansluiting in binnenzak
Verwarming in 9 zones over de gehele torso en kraag
Ruimte voor powerbank in de binnenzak
Waterdicht materiaal

 Ook indoor te gebruiken. Waarom de gehele kamer opwarmen, als alleen jij het warm wilt hebben? 

Bespaar op energiekosten
Verwarmd de essentiele gebieden om heel het bovenlichaam warm te krijgen
Een milieubewustere keuze dan stoken

 
 De bodywarmer wordt zonder powerbank geleverd. 
 Nagenoeg iedereen heeft thuis nog een powerbank liggen. Bespaar jezelf om een nieuwe powerbank te kopen. 

Aanbevolen powerbank: 5V/2A
Aansluiting: Standaard USB (USB-A) - kabel meegeleverd
10.000mah verwarmd 10-12 uur lang (energy save modus) tot 6-8 uur lang (ultra warm modus)"
Outdoorbodywarmers,Regatta Outdoorbodywarmer - Maat XXL  - Mannen - navy,"Specificaties: Pasvorm: Regular fit Temperatuurregeling: DWR finish is waterafstotend, winddicht. Fleece binnenkantRits: Volledige ritssluitingZakken: Twee zakken met ritssluitingKleur: NavyMateriaal: 96% polyester - 4% elastaan"
Outdoorbodywarmers,Alwero bodywarmer Alpen ADULT Lilly M,"Alwero bodywarmer Alpen. De leuke houtje touwtje bodywarmer is er nu ook voor volwassenen. Onder de kinderen was hij al erg populair, maar de papa's en mama's willen er ook wel graag een. De bodywarmer is gemaakt van 100% wol en is niet gevoerd. Hij kan gedragen worden door zowel dames als heren. 
 Wasvoorschrift: 30 °C wolwas programma met een wolwasmiddel."
Outdoorbodywarmers,Alwero bodywarmer Alpen ADULT Beige L,"Alwero bodywarmer Alpen. De leuke houtje touwtje bodywarmer is er nu ook voor volwassenen. Onder de kinderen was hij al erg populair, maar de papa's en mama's willen er ook wel graag een. De bodywarmer is gemaakt van 100% wol en is niet gevoerd. Hij kan gedragen worden door zowel dames als heren. 
 Wasvoorschrift: 30 °C wolwas programma met een wolwasmiddel."
Outdoorbodywarmers,Brandit Ranger Vest Zwart Bodywarmer Heren,"Brandit Ranger Vest Zwart Bodywarmer Heren  Het Ranger Vest van Brandit is een stijlvolle bodywarmer voor heren. De bodywarmer heeft een verborgen hoog sluitende ritssluiting en epauletten met drukknoopsluiting op de schouders. Het vest heeft veel opbergruimte door de vele zakken. Zo zijn er vier opgestikte klepzakken met klittenbandsluiting en is er ook een binnenzak. Het vest heeft een katoenen voering en heeft een recht model met een verlengde achterkant.  ✓Heren✓Comfortabel✓Verborgen hoog sluitende ritssluiting✓Vier opgestikte klepzakken met klittenbandsluiting✓Epauletten met drukknoopsluiting✓Verlengde achterkant✓Binnenzak✓Katoenen voering✓Recht model  Brandit:Brandit onderscheidt zich van andere merken door de uitstekende kwaliteit van de kleding en met producten die je altijd kunt dragen en toch een eigen imago kunt hebben. Brandit heeft voor ieder wat wils met kleding die je kunt dragen voor festivals, backpacken of gewoon lekker thuis. Als je street fashion, basics of dagelijkse kleding met attitude wil, dan ben je bij Brandit aan het juiste adres! Dit merk vormt met zijn populaire cargo broek, combat boots, M65 field jackets, vintage korte broeken, truien, shirts, andere casual kleding en goed geprijsde producten de basis voor menige kledingkast. Brandit is een Duits bedrijf dat fashion en armystyle zeer goed combineert. De pasvorm en de uitstraling zijn goed en daarbij is ook de kwaliteit goed.   Regatta - Vintage Industries - Brandit - Carhartt  Bestel Brandit bij bd store outdoor adventure, sinds 1966Merk: BranditKleur: ZwartGemaakt voor: HerenMateriaal : Polyester / KatoenArtikelnummer: 4014.2."
Outdoorbodywarmers,De Regatta Nevado Bodywarmer - Heren - Waterafstotend - Geïsoleerd - Marine Blauw,De Nevado IV winterbodywarmer van Regatta voor heren voegt stijl toe aan uw buitenavonturen. Het gewatteerde herengilet is gemaakt met ripstopstof en kan daarom tegen slijtage. Ook voorzien van een waterafstotende afwerking voor bescherming tegen lichte regenbuien. En daarnaast gevuld met isolatie zonder veren om de kou buiten te houden. Uitgevoerd in een stijlvol gewatteerd design.
Outdoorbodywarmers,Kjelvik Haldor Bodywarmer Heren - Maat XL,"Kjelvik bodywarmer Haldor voor heren is gewatteerd, winddicht en waterafstotend. Deze comfortabele bodywarmer is voorzien van twee zakken met rits en een binnenzak met klitteband sluiting."
Outdoorbodywarmers,RINO & PELLE 3463 - ZWART - 38,"Stylish padded waistcoat. This lightweight waistcoat features a snap button closure, two side pockets with zipper and a removable self-tie belt."
Outdoorbodywarmers,BJØRNSON Hedda Softshell Bodywarmer - Dames - Winddicht - Maat 42 - Donkerblauw,De 4 seizoenen softshell bodywarmer Hedda van BJØRNSON is winddicht en waterafstotend.   BJØRNSON HEDDA Softshell Bodywarmer Dames  Voordelen   Winddicht en waterafstotend Aansluitend op taille en schouders Winddichte ritsen Bewegingsvrij en ademend Afsluitbare zakken (rits)   De bodywarmer voor dames is voorzien van een winddichte voering en een dunne padding. De taille is verstelbaar met een elastisch koord en de schouders zijn omsloten door een elastische boord. Daarnaast zijn de rits in de body en de ritszakken winddicht. De rits van de body heeft ook nog een extra windvangende flap aan de binnenzijde. Hierdoor blijf je ook als het waait lekker warm. De softshell bodywarmer is gemaakt van polyester. Dit maakt de bodywarmer waterafstotend. Dankzij het lichte gewicht draagt deze softshell bewegingsvrij en comfortabel. Rondom de hals is een zachte fleece stof aangebracht. De 4 seizoenen bodywarmer is voorzien van ritszakken op de heup en borst.
Outdoorbodywarmers,METAHUB verwarmde bodywarmer - verwarmd vest - warmte vest - elektrisch verwarmd vest - verwarmde kleding - verwarmde jas - thermo vest,"Ben je graag buiten, maar vindt je het in de koude maanden gewoon te koud? Dan is deze elektrisch verwarmde bodywarmer echt iets voor jou! De verwarmde bodywarmer is ideaal voor tijdens; wandelen, fietsen, scooter/motorrijden of voor de wintersport. In de binnenzak van de bodywarmer zit een rits met een ingebouwde snoer waaraan je uw eigen powerbank kunt aansluiten. De bodywarmer is makkelijk te dragen onder uw jas. De verwarmde bodywarmer heeft 3 verschillende warmte standen zodat u zelf kunt bepalen wat het beste is voor u. 
 Eigenschappen 

4 warmte elementen ( zie foto )
lichtgewicht
wasbaar
3 standen aanpasbaar
Ideaal voor onder een jas.
lichtgewicht

 Korte gebruiksaanwijzing: 

Open de binnenzak waar zich een usb draad bevind.
Sluit de usb aan op een powerbank.
houd het knopje aan de buitenkant ingedrukt tot hij licht geeft. (zelfde geld voor het uitzetten)
Nu het lampje brand kun je kiezen uit 3 modes door enkel op het knopje te klikken.


blauw= laag
wit= middel
rood= hoog

 Het duurt slechts enkele minuten voordat hij is opgewarmd."
Outdoorbodywarmers,Clique Basic Softshell Vest 020911 - Mannen - Zwart - 5XL,"Clique Basic Softshell Vest 020911 kopen? Favoriet in de collectie, de Basic Softshell. Deze 3-laags Softshell bodywarmer heeft een moderne pasvorm en is leverbaar in veel verschillende kleuren. De bodywarmer is professioneel afgewerkt met diverse zakken met YKK-ritsen, elastische tape bij de boord, handige binnenzakken en ton sur ton zipper pullers. De Clique Basic Softshell is een bestseller dankzij de voordelige prijs-/kwaliteitverhouding en professionele uitstraling.  Eigenschappen Clique Basic Softshell Vest 020911: Ton-sur-ton YKK-ritsenTwee zijzakken en een borstzak met ritsTwee binnenzakkenOok beschikbaar in damesuitvoering, art.nr. 020916"
Outdoorbodywarmers,Mountain Peak dames bodywarmer zwart - Maat XL,Zwarte bodywarmer voor dames uit de Mountain Peack collectie. Voorzien van een hoge kraag en ritssluiting met kinbeschermer. De bodywarmer heeft twee afsluitbare zakken en is licht gewatteerd. Hierdoor is hij erg comfortabel in dragen. Combineer met een van onze fleece vesten en jij bent klaar om naar buiten te gaan! De bodywarmer is gemaakt van 100% polyester.
Outdoorbodywarmers,Regatta Outdoorbodywarmer - Maat M  - Mannen - zwart,"Specificaties: Pasvorm: Regular fit Temperatuurregeling: DWR finish is waterafstotend, winddicht. Fleece binnenkantRits: Volledige ritssluitingZakken: Twee zakken met ritssluitingKleur: ZwartMateriaal: 96% polyester - 4% elastaan"
Outdoorbodywarmers,Donkervoort Bodywarmer Heren,"Deze bodywarmer van Donkervoort is gemaakt van 96% polyamide en 4% elasthan. Hij heeft een slim fit model en is afgewerkt met mooi merkaccenten zoals een logo op de borst. De bodywarmer heeft een ritssluiting, twee steekzakken en een binnenzak. Shop hem nu! Bestel nu een Donkervoort Bodywarmer in de kleur Zwart. De Donkervoort Bodywarmer is gemaakt van: polyamideOver het merkEen exclusieve, casual chique, kledinglijn voor mannen die zich identificeren met de kernwaarden van Donkervoort. Deze kleding maakt het Donkervoort-gevoel toegankelijk voor iedereen!"
Outdoorbodywarmers,Malelions Travis Bodywarmer Kids Zwart - Maat: 164,Malelions Travis Bodywarmer Kids Zwart     Productcode: J1-SS23-07
Outdoorbodywarmers,Lyle & Scott Bodywarmer Heren,"Deze bodywarmer is een heerlijk item voor de herfst! Het item is gemaakt van 100% Nylon, wat voor een comfortabele en waterafstotende bodywarmer. Deze gewatteerde bodywarmer is afgewerkt met een ristsluiting, een knopenlijst, twee zakken op het voorpand en een binnenzak. Het welbekende Lyle & Scott logo maakt de bodywarmer helemaal af. Hoe ga jij deze bodywarmer combineren? Shop 'm hier bij Only for Men! Bestel nu een Lyle & Scott Bodywarmer in de kleur Zwart. De Lyle & Scott Bodywarmer is gemaakt van: nylonOver het merkHet groeiende Lyle & Scott gaat al een tijdje met ons mee. Het Schotse merk is opgericht in 1874 door William Lyle en Walter Scott. Zij verzamelden achthonderd pond en richtten samen een knitwear label op. Lyle & Scott werd een succes en samenwerkingen met bekende modemerken als Christian Dior, Yves Siant Laurent en Chanel kwamen zelfs tot stand. Met veel verstand van zaken slaagden de ervaren designers er steeds weer in om een collectie te ontwerpen met veel gevoel voor eigentijdse mode en die vervaardigd is met liefde voor het vak. In de jaren ‘60 werd het merk opgepikt door muzikanten en sporters. Zo ontstond de unieke identiteit van Lyle & Scott: elegante kleding in een sportief ontwerp met preppy invloeden uit de golfwereld."
Outdoorbodywarmers,Alwero bodywarmer Alpen ADULT Naturel M,"Alwero bodywarmer Alpen. De leuke houtje touwtje bodywarmer is er nu ook voor volwassenen. Onder de kinderen was hij al erg populair, maar de papa's en mama's willen er ook wel graag een. De bodywarmer is gemaakt van 100% wol en is niet gevoerd. Hij kan gedragen worden door zowel dames als heren. 
 Wasvoorschrift: 30 °C wolwas programma met een wolwasmiddel."
Outdoorbodywarmers,Alwero Alpen 1110 Blazers Dames - Bruin - Maat L,"Alwero bodywarmer Alpen. De leuke houtje touwtje bodywarmer is er nu ook voor volwassenen. Onder de kinderen was hij al erg populair, maar de papa's en mama's willen er ook wel graag een. De bodywarmer is gemaakt van 100% wol en is niet gevoerd. Hij kan gedragen worden door zowel dames als heren. 
 Wasvoorschrift: 30 °C wolwas programma met een wolwasmiddel."
Outdoorbodywarmers,Verwarmde Bodywarmer - Elektrisch Verwarmd Kleding - USB Oplaadbaar - 3 Standen - Maat L - Dames / Heren,"Hoe fijn zou het zijn als jij het deze winter niet koud hoeft te hebben. Dat kan met deze verwarmde bodywarmer van Faas. Hij is geschikt voor binnen en voor buiten door de drie verschillende verwarmingsstanden. Door het dunne design is hij makkelijk onder je jas of vest te dragen. 
 
 Perfecte warmte verdeling. 
 De bodywarmer heeft vijf aparte verwarmingselementen. Twee op de voorzijde en drie aan de achterzijde. Hierdoor wordt je rondom helemaal verwarmd en zullen alle belangrijke delen van jouw lichaam niet koud zal worden. De bodywarmer heeft drie standen 30,40 en 50 °C hierdoor kunt je zelf bepalen hoe warm jij het wilt hebben. En door de verschillende standen kan die ook nog binnen gebruikt worden. Zodat je niet uw hele huis hoeft te verwarmen maar alleen jezelf. Dat scheelt natuurlijk een hoop energie. 
 Krachtige accu. 
 De bodywarmer wordt verzien van stroom via een krachtige powerbank. De powerbank heeft een vermogen van 20.000 mAh. Hierdoor gaat de bodywarmer wel tot acht uur mee! Let op dat is op stand 1. Als je stand 2 gebruikt gaat de bodywarmer 6 uur mee en op de hoogste stand 4 uur. Zo kan je de hele dag genieten van de warmte. De accu zit in een zak aan de buitenkant zodat deze geen verwarmingselementen verhinderd. De accu is op 2 manieren op te laden. Je kunt hem opladen met een micro-usb en usb-c. Ook beschikt de powerbank over twee usb-a outputs zo kunt jij jezelf lekker warm houden en je telefoon opladen tegelijk. 
 Eigenschappen. 

Inclusief power bank 20.000 mAh
Twee outputs
Vijf verwarmingselementen
Wasbaar
Instelbare temperatuur met 3 standen
Comfortabel en licht in gewicht

 
 Gebruiksaanwijzing. 
 Door de de aan/uit knop drie seconden in te drukken zal de bodywarmer beginnen met verwarmen. Het lampje zal dan rood worden en dat betekend dat die dan op de hoogste stand aan het verwarmen is. Zodra die de streeftemperatuur heeft bereikt zal het lampje wit worden. Dan zal de bodywarmer in de warmte van stand 1 blijven vast houden. Mocht je het weer koud krijgen dan druk je weer op de knop totdat het lampje rood wordt en dan zal die weer op de hoogste stand verwarmen. Voor het uitschakelen moet je de aan/uit knop weer drie seconden in houden.  
 
 Let op! 
 Als je de bodywarmer in gebruik neemt zorg er dan voor dat je de accu eerst helemaal leeg laat gaan. Als deze leeg is kunt je hem gaan opladen zorg dat je hem de eerste keer volledige oplaadt. Zo blijft de accu optimaal presteren en kunt je lekker lang genieten van de bodywarmer."
Outdoorbodywarmers,Bodywarmer met veel zakken S415 Navy 4XL,"Portwest S415 Bodywarmer Donkerblauw Maat 4XLDe S415 biedt een extra laag warmte enbeschermt de drager bij nat weer. De klassiekestijl combineert handverwarmende zakken,opgenaaide zakken en een binnenzak voor demobiele telefoon: Alles bij elkaar een geweldigkledingstuk voor buiten.kenmerken● Showerproof om lichte regen te weerstaan● Volledig gevoerd op de warmte vast te houden● 6 opbergzakken● Telefoonzak● Warme zakken● Pennenzak● Borstlat om tegen de elementen tebeschermen● Drukknoopsluiting aan voorzijde● Verstelbaar aansnoerkoord in de zoom● Extreem water afstotend doek afwerklaag,water rolt van het oppervlakte af."
Outdoorbodywarmers,Kjelvik Patricia Bodywarmer Dames - Maat 42,De Patricia is een winddichte bodywarmer voor dames. Deze getailleerde bodywarmer is gewatteerd en heeft decoratieve stiksels op de borst. Verder heeft de bodywarmer twee steekzakken met ritssluiting en een binnenzak.
Outdoorbodywarmers,RINO & PELLE 3463 - ZWART - 40,"Stylish padded waistcoat. This lightweight waistcoat features a snap button closure, two side pockets with zipper and a removable self-tie belt."
Outdoorbodywarmers,RINO & PELLE 3463 - ZWART - 38,"Stylish padded waistcoat. This lightweight waistcoat features a snap button closure, two side pockets with zipper and a removable self-tie belt."
Outdoorbodywarmers,Life-Line Willis - Outdoorbodywarmer,"Willis - Outdoorbodywarmer  Deze echte outdoorbodywarmer heeft, door de afsluitbare zakken, genoeg ruimte om al je benodigheden in op te bergen. Het materiaal van de Willis is waterafstotend en biedt een extra bescherming tegen de zon (UPF 40+). Aan de binnenzijde van deze bodywarmer zit een fijne meshvoering. Deze meshvoering helpt bij de afvoer van transpiratie en lichaamswarmte.    Functies:   Comfortabeleoutdoorbodywarmer Meshvoering Waterafstotend UPF40+ Afsluitbare zakken met klittenband en rits   Kwaliteit: 100% Nylon, WR en UPF40+"
Outdoorbodywarmers,Black Bananas ATP Bodywarmer Heren Zwart - Maat: XL,Black Bananas ATP Bodywarmer Heren Zwart  Artikelnummer: MENSS23.1.03
Outdoorbodywarmers,Kjelvik Denise Bodywarmer Dames - Maat 50,Bodywarmer Denise is een comfortabele dames bodywarmer in een getailleerd model. Deze warmte isolerende bodywarmer is winddicht en waterafstotend. Verder is de bodywarmer voorzien van twee steekzakken met ritssluiting en een gevoerde binnenzijde met binnenzak.
Outdoorbodywarmers,Clique Basic Softshell Vest 020911 - Mannen - Wit - XXL,"Clique Basic Softshell Vest 020911 kopen? Favoriet in de collectie, de Basic Softshell. Deze 3-laags Softshell bodywarmer heeft een moderne pasvorm en is leverbaar in veel verschillende kleuren. De bodywarmer is professioneel afgewerkt met diverse zakken met YKK-ritsen, elastische tape bij de boord, handige binnenzakken en ton sur ton zipper pullers. De Clique Basic Softshell is een bestseller dankzij de voordelige prijs-/kwaliteitverhouding en professionele uitstraling.  Eigenschappen Clique Basic Softshell Vest 020911: Ton-sur-ton YKK-ritsenTwee zijzakken en een borstzak met ritsTwee binnenzakkenOok beschikbaar in damesuitvoering, art.nr. 020916"
Outdoorbodywarmers,Kjelvik Haldor Bodywarmer Heren - Maat 4XL,"Kjelvik bodywarmer Haldor voor heren is gewatteerd, winddicht en waterafstotend. Deze comfortabele bodywarmer is voorzien van twee zakken met rits en een binnenzak met klitteband sluiting."
Outdoorbodywarmers,Donkervoort Bodywarmer Heren,"Deze bodywarmer van Donkervoort is gemaakt van 96% polyamide en 4% elasthan. Hij heeft een slim fit model en is afgewerkt met mooi merkaccenten zoals een logo op de borst. De bodywarmer heeft een ritssluiting, twee steekzakken en een binnenzak. Shop hem nu! Bestel nu een Donkervoort Bodywarmer in de kleur Zilver. De Donkervoort Bodywarmer is gemaakt van: polyamideOver het merkEen exclusieve, casual chique, kledinglijn voor mannen die zich identificeren met de kernwaarden van Donkervoort. Deze kleding maakt het Donkervoort-gevoel toegankelijk voor iedereen!"
Outdoorbodywarmers,Kjelvik Patricia Bodywarmer Dames - Maat 48,De Patricia is een winddichte bodywarmer voor dames. Deze getailleerde bodywarmer is gewatteerd en heeft decoratieve stiksels op de borst. Verder heeft de bodywarmer twee steekzakken met ritssluiting en een binnenzak.
Outdoorbodywarmers,MGO Wax Gilet Wilson - Bodywarmer heren - Waxjas winddicht en waterafstotend - Bruin - Maat XL,"Deze stoere gewaxte bodywarmer kan wel tegen een stootje. De jas is winddicht en waterafstotend. Op deze bodywarmer zit een leren MGO Logo op de linkerzak en hij is voorzien van een binnenzak met rits. De kraag is 5 cm breed en heeft afgeronde hoeken.
•	shell: 100% katoen
•	lining: 100 % katoen
•	filling: 100% polyester
•	binnenzak met rits
•	twee opzetzakken
•	twee insteekzakken
Wash Care Label:BUITENSTE: 100% GEWAXT KATOEN VOERING: 100% KATOEN VULLING: 100% POLYESTER 1. Om te voorkomen dat de speciale wax in deze stof wordt vernield, mag dit kledingstuk NIET WORDEN GESTOOMD. 2. NOOIT in de wasmachine wassen. De wax vernielt uw wasmachine. 3. Wassen in bad of een grote bak met schoon, koud water en laten drogen op kamertemperatuur. 4. Breng een ruime hoeveelheid wax aan op zwaar vervuilde plekken met een zachte borstel om het vuil los te maken en verwijder het daarna met een schone doek. 5. GEBRUIK GEEN WASMIDDEL OF SCHOONMAAK MIDDELEN. Evt. een beetje groene zeep voor de vervuilde ribkraag of voering. 6. Als het kledingstuk per ongeluk is vervuild met benzine, zuur, ammoniak, mest of andere chemicaliën, maak het schoon zoals (3). 7. Overmatig zand en vuil kan schadelijk zijn voor het kledingstuk en kan slijtage versnellen, om de levensduur van uw kledingstuk te verlengen daarom regelmatig wassen zoals bij (3) is weergegeven. 8. Door regelmatige toepassing van een waxspray zal de stof zijn kwaliteiten behouden en het kledingstuk in goede staat houden, waardoor de levensduur van het kledingstuk wordt verlengd. Tevens kunt u uw jas na intens gebruik opnieuw waxen of laten waxen door onze waxservice. www.mongo.nl"
Outdoorbodywarmers,Alwero bodywarmer Folker Naturel L,"Alwero mouwloos vest. Heerlijk mouwloos vest gemaakt van 100% wol. Het vest is niet gevoerd. 
 Wasvoorschrift 30 °C wolwas programma met een wolwasmiddel."
Outdoorbodywarmers,Verwarmd Vest | 9 Warmte-zones (25-50 C°) | 4-8 Uur Warmte | Elektrische Bodywarmer | Heated Vest | Thermokleding | Verwarmde kleding | Effectief & Functioneel | Werkt met Powerbank (usb-a) | Wintersport | Outdoor | Maat M,"Verwarming laag of buiten koud? Deze verwarmde bodywarmer met 9 warmte-zones biedt uitkomst.   Dit warmte-vest geeft warmte af én houdt warmte vast. Voor velen is deze verwarmde bodywarmer een oplossing tegen de kou. Bijvoorbeeld wanneer thuis de verwarming een paar graden lager staat, wanneer u veel onderweg bent of wanneer u werkt in de buitenlucht. Dit funktionele warmte-vest is zeer effectief, energiezuinig en houdt u comfortabel warm.   Comfortabel warm: 9 carbon-fiber warmte-zones, waarvan 1 in de nek Kostenbesparend: verwarm uzelf in plaats van uw hele huis, de thermostaat en dus uw energiekosten kunnen fors omlaag Eenvoudig in gebruik: één druk op de knop, direct voelbare warmte, 3 vooringestelde warmte-niveaus, eenvoudig aan te sluiten op elke standaard powerbank Smart heating: automatische warmte-regulatie, comfortabel warm en energie-efficiënt, kies het warmte-niveau dat het beste bij u past Tevredenheidsgarantie: kostenloos retourneren of ruilen, uw vragen altijd binnen 8 uur beantwoord   *dit model valt 'klein' bestel bij twijfel een maat groter   Het vest heeft maar liefst 9 warmte-zones. Deze innovatieve carbon-fiber warmte-elementen zijn energie-efficient, betrouwbaar en 100% veilig en onzichtbaar in het ontwerp van het vest verwerkt. Het vest is licht gewatteerd waardoor de warmte direct voelbaar is. U kunt kiezen uit 3 standaard vooringestelde warmte-niveaus: warm (rood) - tot 50°C of medium 35°C (wit) of de spaarstand (blauw) - tot 25°C. De bediening is eenvoudig middels een drukknopje op het vest. Zelfs in een koude ruimte heeft u het met dit warmte-vest comfortabel warm. De binnenkant van de rug is voorzien van een speciale isolatie-laag waardoor de afgegeven warmte nog beter wordt vastgehouden.     Energiezuinig dankzij smart-heating-technologie   Door toepassing van zogenaamde smart-heatingtechnologie wordt de warmte automatisch gereguleerd, wanneer nodig geven de warmte-elementen extra warmte af of juist minder, zo blijft het voor de drager altijd comfortabel warm en gaat de gebruikte energiebron zo lang mogelijk mee. Een standaard powerbank voldoet als energiebron en levert de benodigde energie. Afhankelijk van de gekozen warmtestand en de capaciteit van de powerbank voelt u zich zo'n 4 tot 8 uur comfortabel warm.     Over verwarmde kleding   Verwarmde kleding geeft u extra warmte wanneer het buiten koud is of wanneer binnen de verwarming een paar graden lager staat. Met verwarmde kleding kunt u comfortabel warm blijven in koude omgevingen. Dankzij warmtekleding bent u minder afhankelijk van andere warmtebronnen, u verwarmt uzelf in plaats van uw huis hetgeen een besparing op uw energieverbruik kan betekenen. Ten opzichte van andere verwarmingsmethoden is verwarmde kleding zeer energie-efficiënt. Tevens kan verwarmde kleding helpen bij het voorkomen van koude-gerelateerde gezondheidsproblemen.     Eenvoudig in gebruik   Direct na aansluiting van de powerbank, die u vervolgens opbergt in de binnenzak, drukt u een aantal seconden op het aan/uit knopje tot het rood wordt. Na enkele seconden opwarming op de hoogste stand schakelt het jasje automatisch over naar de medium-warmtestand, drukt u nog eenmaal schakelt de warmte naar de laagste warmte-stand. Wanneer u het aan/uit knopje weer 3 seconden ingedrukt houdt of de powerbank ontkoppelt schakelt de warmte uit. Het vest wordt geleverd zonder powerbank. Veel mensen zijn al in het bezit van een powerbank, mocht u deze nog niet hebben: bij de goedkopere retail-winkels zijn geschikte modellen voor een aantrekkelijke prijs verkrijgbaar.     De kleding mag nat worden en kan gewassen worden   Het gebruik van de koolstofvezel zorgt voor optimale geleiding van warmte en is veilig en betrouwbaar. Het kunt het vest bij voorkeur koud wassen (30°C) op handwas of fijne was zonder te centrifugeren. U hoeft de bedrading of de usb-a aansluiting niet te verwijderen. Na wassen het vest goed laten drogen en daarna is het klaar voor gebruik.     Meet vooraf voor de juiste maat   Voorkom teleurstellling en meet vooraf de omtrek op borsthoogte en de omtrek van het middenlichaam. Zie de tabel bij de afbeeldingen voor de juiste maatkeuze. Wanneer het vest goed om het lichaam aansluit is de warmte het beste voelbaar. Wanneer u bijvoorbeeld een dikke trui onder de bodywarmer wilt dragen bestel dan een maat groter. Wanneer u kiest volgens de aangegeven maten in de tabel is de ruimte tussen vest en lichaam niet te ruim. Wilt u het vest toch liever 'oversized' dragen kies dan een maat groter."
